Headline,Body ID,Stance,actual,predicted,prob_0,prob_1,prob_2,prob_3
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,unrelated,unrelated,unrelated,4.2207167e-09,5.2974394e-09,4.7614054e-07,0.9999995
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,agree,agree,agree,0.9966505,0.0024922725,0.00085429836,2.8675279e-06
Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,unrelated,unrelated,unrelated,3.6365048e-08,5.547038e-08,3.703196e-06,0.9999962
N. Korea’s Kim has leg injury but in control,570,unrelated,unrelated,unrelated,2.1351083e-08,9.034275e-09,2.4680496e-06,0.9999975
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,agree,agree,agree,0.98448074,0.00596596,0.00319191,0.0063613337
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,unrelated,unrelated,unrelated,1.11014245e-07,6.8518293e-09,9.4567646e-08,0.99999976
Nasa questions whether crater in Nicaragua caused by meteorite,534,unrelated,unrelated,unrelated,8.148105e-08,6.781585e-08,1.0638957e-07,0.99999976
"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,unrelated,unrelated,unrelated,4.826129e-08,9.470194e-08,4.5087287e-08,0.99999976
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,unrelated,unrelated,unrelated,6.059834e-06,3.1141408e-07,1.5699257e-07,0.99999344
Rumors of ISIS leader's death debunked,1255,unrelated,unrelated,unrelated,1.4952653e-07,8.713424e-08,7.731336e-06,0.999992
Nigeria and Boko Haram 'agree ceasefire and girls' release',459,unrelated,unrelated,unrelated,7.6860445e-08,3.5798276e-08,5.0100116e-06,0.9999949
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,agree,agree,agree,0.99961025,2.290959e-05,0.00035805558,8.765245e-06
"Why the Gold Apple Watch Edition Must Cost $10,000",816,unrelated,unrelated,unrelated,7.528996e-09,1.9516655e-09,5.222582e-08,0.9999999
Amazon's first brick-and-mortar store said to open in Manhattan,1934,unrelated,unrelated,unrelated,1.1840835e-08,6.478684e-09,6.383012e-07,0.9999993
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,unrelated,unrelated,unrelated,4.2244008e-07,1.5743119e-08,2.5651846e-07,0.9999993
Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,agree,agree,discuss,0.21083903,0.04658672,0.74192005,0.0006542387
Jihadi John identity revealed as Mohammed Emwazi: live,2033,unrelated,unrelated,unrelated,1.4339341e-07,1.0374182e-07,3.518314e-07,0.9999994
Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,unrelated,unrelated,unrelated,4.306068e-08,4.869058e-08,9.486935e-08,0.99999976
Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,unrelated,unrelated,unrelated,3.5643794e-08,1.380158e-09,2.3429335e-08,0.9999999
Priest who died for 48 minutes says he met God and she’s a woman,1720,unrelated,unrelated,unrelated,4.5702786e-06,4.3547587e-07,1.673067e-05,0.9999783
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,unrelated,unrelated,unrelated,1.7961792e-06,1.5497577e-08,7.076876e-08,0.9999981
"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,unrelated,unrelated,unrelated,4.8408385e-08,4.2263718e-08,2.900596e-06,0.999997
Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,unrelated,unrelated,unrelated,1.4580106e-08,4.6921365e-09,1.9796141e-06,0.999998
"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,agree,agree,discuss,0.39914247,0.00023476416,0.60046667,0.00015607406
Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,unrelated,unrelated,unrelated,3.2442556e-06,1.7072816e-07,1.6099373e-05,0.99998045
Scientists Doubt That Meteor Caused Crater In Nicaragua,731,unrelated,unrelated,unrelated,2.1846246e-07,1.0485703e-07,4.201053e-06,0.99999547
Video: Marine saved by helmet after Taliban sniper attack,488,agree,agree,agree,0.9979042,0.00032404944,0.0017709606,8.461351e-07
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,unrelated,unrelated,unrelated,1.1156974e-07,1.6332148e-08,1.7574362e-07,0.99999964
Michael Phelps’ alleged girlfriend says she was born intersex,618,unrelated,unrelated,unrelated,6.390626e-07,1.3745333e-08,5.544771e-08,0.9999993
Vogue’s Rat Infestation: Disturbing New Details,2064,agree,agree,discuss,0.2987076,0.0018158911,0.6992388,0.00023771539
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,unrelated,unrelated,unrelated,2.9874232e-05,6.442147e-07,5.776188e-06,0.99996376
New iOS 8 bug can delete all of your iCloud documents,139,unrelated,unrelated,unrelated,1.0024849e-06,4.4727663e-08,2.101994e-07,0.9999987
"Wildest Apple Watch rumor yet: 100,000 apps at launch",986,unrelated,unrelated,unrelated,1.006351e-07,2.3410983e-08,1.4863866e-06,0.99999833
Sergeant-at-Arms stopped shooter on Parliament Hill,1568,unrelated,unrelated,unrelated,2.870976e-06,3.6936868e-08,4.712e-06,0.9999924
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,discuss,discuss,discuss,0.0015587783,4.7603018e-05,0.9983919,1.6108502e-06
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,unrelated,unrelated,unrelated,8.1193946e-08,3.7013965e-08,5.19184e-06,0.99999464
Mexico prosecutor: Students not in 1st mass graves,1948,unrelated,unrelated,unrelated,5.8557912e-08,8.130143e-09,1.7045161e-06,0.9999982
Audio recording allegedly captures moment Michael Brown was shot,1720,unrelated,unrelated,unrelated,3.0663784e-08,1.4576281e-08,3.0152453e-06,0.9999969
WHO investigates media reports ISIS fighters contracted Ebola,1574,unrelated,unrelated,unrelated,1.3054797e-08,1.4124912e-09,2.65989e-07,0.99999976
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2302,unrelated,unrelated,unrelated,1.883947e-08,1.1023261e-09,7.034833e-08,0.9999999
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,unrelated,unrelated,unrelated,5.0276068e-08,9.839442e-09,7.024683e-08,0.9999999
High school student scores $72M playing the stock market,1987,discuss,discuss,agree,0.5135449,0.20760168,0.2786076,0.0002457963
James Foley remembered as 'brave and tireless' journalist,874,unrelated,unrelated,unrelated,8.6311e-06,1.1870927e-06,1.0011873e-06,0.99998915
Islamic State using 'SCORPION bombs' to terrorise victims,1720,unrelated,unrelated,unrelated,5.079895e-07,1.2673127e-08,8.844409e-07,0.99999857
ISIS Getting Ebola,720,unrelated,unrelated,unrelated,1.5612521e-07,1.0361151e-06,1.9013134e-05,0.99997985
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,agree,agree,agree,0.86176443,0.00078031386,0.13634281,0.0011124144
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,unrelated,unrelated,unrelated,5.1717986e-08,2.4094303e-08,1.242814e-08,0.9999999
Video messaging service verifies timing of CNN audio recording,1299,unrelated,unrelated,unrelated,2.5814037e-08,5.66947e-08,2.5523418e-08,0.9999999
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,unrelated,unrelated,unrelated,4.3824426e-07,7.494387e-08,1.1979602e-06,0.99999833
Eggnog-chugging contest leads to hospital stay,2509,unrelated,unrelated,unrelated,5.5567403e-07,1.8231443e-08,7.2176244e-06,0.99999225
Obama: murder of James Foley 'shocks the conscience of the entire world',2127,unrelated,unrelated,unrelated,2.9998475e-06,3.4590371e-07,7.732235e-06,0.9999889
Nasa questions whether crater in Nicaragua caused by meteorite,524,unrelated,unrelated,unrelated,5.685208e-08,4.6215654e-08,1.2669008e-06,0.9999987
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,discuss,discuss,disagree,0.15188356,0.80015886,0.04794618,1.1358842e-05
Macaulay Culkin dead: Actor is victim of another death hoax,2022,unrelated,unrelated,unrelated,5.1451828e-08,1.0319927e-08,3.101605e-07,0.99999964
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,unrelated,unrelated,unrelated,1.7577507e-07,8.344384e-08,4.7675474e-07,0.9999993
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",139,unrelated,unrelated,unrelated,7.876627e-06,4.1215074e-07,4.109441e-06,0.9999876
Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,unrelated,unrelated,unrelated,3.3352386e-05,1.0648401e-06,3.0214628e-06,0.99996257
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2033,unrelated,unrelated,unrelated,7.3466913e-07,1.5496262e-07,5.9904846e-07,0.99999857
ISIL Beheads American Photojournalist in Iraq,139,unrelated,unrelated,unrelated,0.00042311253,4.0796053e-06,8.823195e-05,0.99948454
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",465,unrelated,unrelated,unrelated,9.544968e-07,6.896046e-08,4.5612605e-06,0.9999944
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",731,unrelated,unrelated,unrelated,1.1297297e-08,1.9425817e-09,1.9279857e-06,0.9999981
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,discuss,discuss,discuss,0.0014116456,8.830159e-06,0.9985696,9.843372e-06
"North Korean leader Kim Jong Un had ankle surgery, report says",1349,unrelated,unrelated,unrelated,1.7644919e-09,5.4674576e-09,5.5893356e-06,0.9999944
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,unrelated,unrelated,unrelated,2.5746954e-07,4.7873442e-08,2.6968135e-06,0.999997
Michael Phelps’ alleged girlfriend says she was born intersex,1349,agree,agree,discuss,0.0052942517,8.9287605e-06,0.9946937,3.0803694e-06
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,discuss,discuss,discuss,2.0626536e-05,5.2907785e-06,0.9999739,1.52065e-07
Boko Haram denies truce to release kidnapped schoolgirls,171,unrelated,unrelated,unrelated,1.62479e-07,5.4964538e-08,5.508448e-05,0.9999447
Saudi cleric condemns snowmen as anti-Islamic,1950,unrelated,unrelated,unrelated,1.401988e-06,2.5366658e-08,6.487016e-07,0.999998
"No, there aren’t any Ebola cases in Iraq",2003,discuss,discuss,agree,0.5983968,0.00097130256,0.40057823,5.3665826e-05
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,unrelated,unrelated,unrelated,5.483928e-09,8.2403107e-10,1.7544353e-06,0.9999982
Missing Planes,1958,discuss,discuss,discuss,0.0017646778,1.678228e-06,0.99822336,1.0266148e-05
Islamic State militants claim to behead missing American journalist,1372,unrelated,unrelated,unrelated,1.816706e-07,6.622983e-07,0.009813803,0.9901854
Boko Haram ceasefire ignored as violence flares in Borno state,2139,disagree,disagree,discuss,0.0052168104,0.043774165,0.95020086,0.00080819224
Tropical spider 'burrowed under man's skin through scar' - video report,1888,unrelated,unrelated,unrelated,4.8303665e-08,4.872636e-08,5.6052418e-06,0.9999943
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1958,agree,agree,discuss,0.39457807,7.860122e-05,0.60533607,7.3004403e-06
ISIS Appears To Behead American Photojournalist In YouTube Video,1261,unrelated,unrelated,unrelated,3.087185e-08,1.1766192e-07,7.870017e-06,0.999992
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,913,unrelated,unrelated,unrelated,1.7916667e-08,9.672367e-08,7.9533975e-06,0.9999919
Soldier shot near Canadian parliament building,1574,unrelated,unrelated,unrelated,1.9932565e-07,5.0286584e-09,6.775999e-08,0.99999976
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",1358,unrelated,unrelated,unrelated,0.0022770108,8.4088744e-05,0.00014535052,0.9974936
Eyewitness Says Viral Video of Homeless Man Was Staged,1934,unrelated,unrelated,unrelated,3.8271185e-07,7.074261e-08,1.0397156e-06,0.99999845
"Islamic State leader's family detained by Lebanon, officials say",2268,discuss,discuss,discuss,5.2548432e-05,4.2291555e-05,0.9998024,0.00010281206
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',730,unrelated,unrelated,unrelated,7.1219155e-08,1.4292599e-08,3.3707677e-06,0.99999654
Apple may launch 12-inch MacBook Air with Retina Display,1234,unrelated,unrelated,unrelated,7.410022e-09,1.1316662e-08,1.2701643e-07,0.9999999
Bali spider burrows under Aussie’s chest,986,disagree,disagree,agree,0.50049025,0.022342663,0.47715217,1.497115e-05
Confusion as Cuba’s Castro mourned instead of Kenya’s Fidel,2377,unrelated,unrelated,unrelated,2.3060127e-06,2.3581513e-06,3.541007e-06,0.9999918
"Nun gives birth, intends to keep baby",534,discuss,discuss,agree,0.9208574,6.8410765e-05,0.07906956,4.624878e-06
This Selfless Homeless Man Receives $100 & Doesn't Spend A Dime On Himself!,1948,unrelated,unrelated,unrelated,3.3119048e-07,9.7658885e-09,3.412114e-06,0.9999963
"No, a bird didn't poop on Vladimir Putin",720,unrelated,unrelated,unrelated,3.982719e-07,5.628722e-07,2.0097132e-06,0.999997
Crazy iPhone rig shows how Chinese workers manipulate App Store rankings,2421,unrelated,unrelated,unrelated,3.7917257e-08,8.629886e-09,3.1786888e-06,0.9999968
Everyone chill! Banksy has NOT been arrested,2412,unrelated,unrelated,unrelated,8.128045e-06,1.350938e-06,5.351776e-05,0.99993706
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1372,unrelated,unrelated,unrelated,4.6593904e-08,2.24328e-08,1.1509032e-05,0.99998844
Turkish Leader Says U.S. Airdrop Aided ISIS Militants,1572,unrelated,unrelated,unrelated,5.1762197e-07,4.59252e-07,1.6302342e-06,0.9999974
ISIS Claims to Have Intercepted Supplies From U.S. Airdrop,1597,discuss,discuss,discuss,0.00010468146,2.2041166e-05,0.99948174,0.00039158465
Texas City plumber's truck ends up in Syrian war,1299,unrelated,unrelated,unrelated,9.340139e-08,5.404398e-09,1.5741808e-08,0.9999999
